30cc,a5cc,ヌ
30cd,a5cd,ネ
30ce,a5ce,ノ
30cf,a5cf,ハ
30d0,a5d0,バ
30d1,a5d1,パ
30d2,a5d2,ヒ
30d3,a5d3,ビ
30d4,a5d4,ピ
30d5,a5d5,フ
30d6,a5d6,ブ
30d7,a5d7,プ
30d8,a5d8,ヘ
30d9,a5d9,ベ
30da,a5da,ペ
30db,a5db,ホ
30dc,a5dc,ボ
30dd,a5dd,ポ
30de,a5de,マ
30df,a5df,ミ
30e0,a5e0,ム
30e1,a5e1,メ
30e2,a5e2,モ
30e3,a5e3,ャ
30e4,a5e4,ヤ
30e5,a5e5,ュ
30e6,a5e6,ユ
30e7,a5e7,ョ
30e8,a5e8,ヨ
30e9,a5e9,ラ
30ea,a5ea,リ
30eb,a5eb,ル
30ec,a5ec,レ
30ed,a5ed,ロ
30ee,a5ee,ヮ
30ef,a5ef,ワ
30f0,a5f0,ヰ
30f1,a5f1,ヱ
30f2,a5f2,ヲ
30f3,a5f3,ン
30f4,a5f4,ヴ
30f5,a5f5,ヵ
30f6,a5f6,ヶ
30fb,a1a6,・
30fc,a1bc,ー
30fd,a1b3,ヽ
30fe,a1b4,ヾ
319b,41a2,㆛
3231,78d5,㈱
3232,78cf,㈲
3233,78d0,㈳
3234,78cd,㈴
3235,78d6,㈵
3236,78d4,㈶
3238,78ce,㈸
3239,78cb,㈹
323a,78d9,㈺
323b,78d7,㈻
323c,78d1,㈼
323d,78ca,㈽
323e,78d3,㈾
323f,78cc,㈿
3240,78d8,㉀
3242,78d2,㉂
3243,78c9,㉃
3251,77dd,㉑
3252,77f5,㉒
3253,77f6,㉓
3254,77f7,㉔
3255,77f8,㉕
3256,77f9,㉖
3257,77fa,㉗
3258,77fb,㉘
3259,77fc,㉙
325a,77fd,㉚
325b,77fe,㉛
3291,78e6,㊑
3292,78e5,㊒
3293,78e7,㊓
3294,78e1,㊔
3296,78ea,㊖
3298,78e3,㊘
32a4,ade5,㊤
32a5,ade6,㊥
32a6,ade7,㊦
32a7,ade8,㊧
32a8,ade9,㊨
32a9,78df,㊩
32aa,78e2,㊪
32ab,78e4,㊫
32ac,78e8,㊬
32ad,78de,㊭
32ae,78e9,㊮
32af,78e0,㊯
32b0,78dd,㊰
3300,76ec,㌀
3303,76e1,㌃
3305,76f1,㌅
330d,76e6,㌍
3314,76dc,㌔
3315,76df,㌕
3316,76dd,㌖
3318,76de,㌘
331e,76ef,㌞
3322,76db,㌢
3323,76e4,㌣
3326,76e3,㌦
3327,76e0,㌧
332a,76f0,㌪
332b,76e5,㌫
3331,76ed,㌱
3336,76e2,㌶
3339,76ea,㌹
333b,76eb,㌻
3342,76e8,㍂
3347,76ee,㍇
3349,76da,㍉
334a,76e9,㍊
334d,76d9,㍍
3357,76e7,㍗
337f,76f5,㍿
3385,76ce,㎅
3386,76cf,㎆
3387,76d0,㎇
338e,76c4,㎎
338f,76c5,㎏
3390,76d4,㎐
3396,76d7,㎖
3397,76c7,㎗
3398,76c9,㎘
339c,76bc,㎜
339d,76bd,㎝
339e,76be,㎞
33a0,76bf,㎠
33a1,76c0,㎡
33a2,76c1,㎢
33a4,76c2,㎤
33a5,76c3,㎥
33b0,76cd,㎰
33b1,76cc,㎱
33b2,76cb,㎲
33b3,76ca,㎳
33c4,76c6,㏄
33cb,76d2,㏋
33cc,76d6,㏌
33cd,76f4,㏍
33d4,76d5,㏔
3404,41ae,㐄
342c,41d7,㐬
342e,41d9,㐮
3430,41e6,㐰
3445,42a9,㑅
3464,42e6,㑤
3468,42e5,㑨
3478,43a7,㑸
34ab,43d4,㒫
34d7,44a3,㓗
34db,44b7,㓛
34dc,44b8,㓜
34dd,44bb,㓝
34ea,44b9,㓪
3513,44d7,㔓
3515,44d9,㔕
351a,44e4,㔚
352b,45ac,㔫
352f,45b6,㔯
3530,45b5,㔰
355b,45ee,㕛
3634,47d4,㘴
3686,48d2,㚆
371b,49de,㜛
373e,49f9,㜾
3747,49f3,㝇
374b,4aa3,㝋
3751,4aa7,㝑
3758,4aad,㝘
3759,4ab4,㝙
375f,4ab9,㝟
376d,4ac5,㝭
37aa,4bb2,㞪
37ba,4aef,㞺
37bb,4af0,㞻
37bc,4bb3,㞼
37dc,4af9,㟜
37df,4afd,㟟
37e2,4afe,㟢
37f5,4ba5,㟵
37fd,4bd5,㟽
3800,4bb6,㠀
3810,4bab,㠐
3815,4bae,㠕
3816,4bad,㠖
3817,4bde,㠗
381d,4be1,㠝
382a,4bed,㠪
3863,4ca1,㡣
386b,4cb6,㡫
387d,4cbd,㡽
3888,4cc3,㢈
3891,4cc8,㢑
3895,4ccd,㢕
389c,4cd0,㢜
38a3,4cdf,㢣
38a8,4cea,㢨
38c0,4cf3,㣀
38c3,4cf4,㣃
38c9,4da3,㣉
38de,4db2,㣞
38e0,4db3,㣠
38e2,4db4,㣢
38ea,4db9,㣪
391a,4dfb,㤚
3920,4dcb,㤠
3922,4ea1,㤢
393a,4eb2,㤺
3940,4eb6,㥀
3941,4dd4,㥁
394c,4ebc,㥌
3950,4dd5,㥐
3960,4ec4,㥠
3963,4dd8,㥣
3972,4ddb,㥲
3973,4ed2,㥳
399b,4de7,㦛
39a4,4dea,㦤
39b1,4ef0,㦱
39b6,4ef1,㦶
39c8,4fad,㧈
39de,4fbc,㧞
39e8,4fc3,㧨
39fd,4fd5,㧽
3a0b,4fe5,㨋
3a4d,50a4,㩍
3a7d,50bf,㩽
3a89,50c7,㪉
3ab0,50d8,㪰
3ac4,50ea,㫄
3ad6,51af,㫖
3adb,51c6,㫛
3ae4,51a4,㫤
3af4,51da,㫴
3af7,51b2,㫷
3afc,51df,㫼
3b01,51a9,㬁
3b1a,51f0,㬚
3b1d,51f3,㬝
3b22,51f6,㬢
3b26,51f8,㬦
3b35,52bf,㬵
3b3c,52ab,㬼
3b55,53bb,㭕
3b6d,53d4,㭭
3b88,53e3,㮈
3b8b,53e5,㮋
3bb5,53f8,㮵
3bb6,53f9,㮶
3be2,54ae,㯢
3bec,52e7,㯬
3bf0,54b2,㯰
3bf8,54b8,㯸
3c1e,54ca,㰞
3c2e,54cd,㰮
3c45,54d7,㱅
3c4f,54de,㱏
3c8a,54f0,㲊
3cd1,55dd,㳑
3cd6,55e0,㳖
3cda,55e6,㳚
3cdc,55ec,㳜
3cfa,56b5,㳺
3d00,56ba,㴀
3d1e,56d6,㴞
3d4e,b4c2,㵎
3d53,56fc,㵓
3d64,57ac,㵤
3d67,57b0,㵧
3d6e,57b3,㵮
3d76,57b7,㵶
3d93,57bf,㶓
3da6,57d8,㶦
3db5,58a4,㶵
3dd6,57d5,㷖
3e33,58cd,㸳
3e5c,58d3,㹜
3e63,58de,㹣
3e66,58e0,㹦
3e68,58e4,㹨
3e72,58e8,㹲
3e77,58d8,㹷
3e79,58ea,㹹
3eb2,59b3,㺲
3ee1,59eb,㻡
3ee8,59a7,㻨
3f0b,5aaf,㼋
3f18,5ab4,㼘
3f56,5acc,㽖
3f6a,5ad4,㽪
3fdf,5afb,㿟
3fe4,5ba3,㿤
4035,5bcd,䀵
4051,5bda,䁑
405f,5bdc,䁟
4071,5bde,䁱
4093,5beb,䂓
4096,5bef,䂖
40a2,5ca1,䂢
40dd,5cbf,䃝
4105,5cd2,䄅
4107,5cdd,䄇
4126,5cf6,䄦
412b,5cf8,䄫
4146,5da4,䅆
414f,5daa,䅏
415e,5db2,䅞
4162,5db4,䅢
4163,5db5,䅣
4165,5db7,䅥
41cb,5ddf,䇋
41d2,5ddc,䇒
41f1,5df6,䇱
4215,5ea7,䈕
421e,5eab,䈞
4227,5eac,䈧
4235,5eb1,䈵
4256,5eb8,䉖
425c,5eb9,䉜
4264,5eba,䉤
4285,5ecf,䊅
4297,5ed5,䊗
42af,5edc,䊯
42c1,5ef1,䋁
42d6,5fa2,䋖
42db,5fab,䋛
4307,5fcc,䌇
4313,5ee3,䌓
4316,5fd5,䌖
43ca,60d3,䏊
43de,52b5,䏞
43ee,52c1,䏮
43ef,52c6,䏯
43f7,52c8,䏷
43f8,52cc,䏸
4424,52d9,䐤
4453,60ea,䑓
445b,60f4,䑛
4468,61a4,䑨
446d,61a6,䑭
447a,61ac,䑺
4491,61ba,䒑
44ab,61dc,䒫
44b1,61de,䒱
44b3,61df,䒳
44be,61ed,䒾
44cc,61f3,䓌
44d0,61f8,䓐
44d3,61f9,䓓
4508,62c0,䔈
450a,62c3,䔊
4524,62ca,䔤
4525,62cc,䔥
4535,62ce,䔵
453b,62d3,䔻
453c,62d5,䔼
4543,62db,䕃
457e,62f8,䕾
4587,62f9,䖇
458e,63ae,䖎
4593,63af,䖓
459b,63b2,䖛
459d,63b8,䖝
45a3,63c6,䖣
4610,63e1,䘐
4618,63ed,䘘
4631,63f7,䘱
465e,64b1,䙞
4674,64b8,䙴
4679,64c2,䙹
467a,64c3,䙺
467d,64c1,䙽
4688,64c6,䚈
46ac,64d4,䚬
46ae,64e0,䚮
46af,64e1,䚯
46ed,65aa,䛭
46ee,65ab,䛮
46f1,65ad,䛱
470f,65c8,䜏
472c,65d9,䜬
4769,65fc,䝩
476f,66a2,䝯
4777,65f5,䝷
47af,66bf,䞯
47e6,66c8,䟦
4801,66d2,䠁
4871,66f8,䡱
489e,67d6,䢞
489f,67d7,䢟
48d0,68a9,䣐
48db,68ae,䣛
48e6,68e2,䣦
48ec,68e5,䣬
48f4,68ee,䣴
490e,68fa,䤎
491d,69ce,䤝
491e,69d5,䤞
4922,69f4,䤢
4923,69f5,䤣
492b,6aa9,䤫
4930,69b2,䤰
4931,6ac5,䤱
494d,69b8,䥍
494e,6ba8,䥎
494f,6ba9,䥏
4962,69ba,䥢
4976,6bcc,䥶
4987,6bd8,䦇
499a,6be5,䦚
499e,6be9,䦞
49b4,6beb,䦴
49be,68dc,䦾
49c4,68be,䧄
49c9,68c2,䧉
49d4,68c6,䧔
49de,68cf,䧞
49f6,6bf9,䧶
4a16,6ca6,䨖
4a29,6caa,䨩
4a2c,6cab,䨬
4a4d,6cbc,䩍
4a84,6cc7,䪄
4aa9,6cda,䪩
4ab5,6ce4,䪵
4ab8,6ce5,䪸
4abc,6ce6,䪼
4ad3,6cf0,䫓
4add,6cf2,䫝
4aeb,6cf6,䫫
4b22,6db0,䬢
4b70,6dd2,䭰
4b7f,6de3,䭿
4b9e,6df0,䮞
4bc2,6dd9,䯂
4be8,6ea5,䯨
4bec,6ea8,䯬
4c07,6eb2,䰇
4c17,6eb8,䰗
4c20,6ec5,䰠
4c35,6ecd,䰵
4c70,6ee4,䱰
4cbd,6ef7,䲽
4cbe,6ef0,䲾
4d0e,6ef3,䴎
4d1f,6fb8,䴟
4dac,70ab,䶬
4daf,70b0,䶯
4db0,70b1,䶰
4e00,b0ec,一
4e01,c3fa,丁
4e02,41a1,丂
4e03,bcb7,七
4e07,cbfc,万
4e08,bee6,丈
4e09,bbb0,三
4e0a,bee5,上
4e0b,b2bc,下
4e0d,c9d4,不
4e0e,cdbf,与
4e10,d0a2,丐
4e11,b1af,丑
4e12,41a8,丒
4e14,b3ee,且
4e15,d0a3,丕
4e16,c0a4,世
4e17,d2c2,丗
4e18,b5d6,丘
4e19,caba,丙
4e1e,bee7,丞
4e21,cebe,両
4e22,41ba,丢
4e24,41a3,两
4e26,cac2,並
4e28,41ac,丨
4e2a,d0a4,个
4e2d,c3e6,中
4e2e,41af,丮
4e30,41ad,丰
4e31,d0a5,丱
4e32,b6fa,串
4e36,d0a6,丶
4e38,b4dd,丸
4e39,c3b0,丹
4e3b,bce7,主
4e3c,d0a7,丼
4e3f,d0a8,丿
4e42,d0a9,乂
4e43,c7b5,乃
4e44,41bd,乄
4e45,b5d7,久
4e47,41b7,乇
4e4b,c7b7,之
4e4d,c6e3,乍
4e4e,b8c3,乎
4e4f,cbb3,乏
4e51,41b9,乑
4e55,e9c9,乕
4e56,d0aa,乖
4e57,bee8,乗
4e58,d0ab,乘
